code,name,month,momentum,volatility,risk_adj_momentum,turnover_trend,momentum_rank,risk_adj_momentum_rank,turnover_trend_rank,composite_score
801200,商贸零售,2021-01,-0.0779952660668699,0.1688730743748875,-0.4618573230550974,0.0,0.1111111111111111,0.037037037037037035,0.5185185185185185,0.2222222222222222
801210,社会服务,2021-01,-0.011585509618735612,0.5238342748506263,-0.022116746030105175,0.0,0.6296296296296297,0.7407407407407407,0.5185185185185185,0.6296296296296297
801780,银行,2021-01,0.08538239315485385,0.20441552882677444,0.41769034693645263,0.0,1.0,1.0,0.5185185185185185,0.8395061728395062
801790,非银金融,2021-01,-0.06715630203111822,0.3059911105231092,-0.21947141508885898,0.0,0.18518518518518517,0.3333333333333333,0.5185185185185185,0.345679012345679
801230,综合,2021-01,-0.055100884897637536,0.2720659176322421,-0.20252770129082726,0.0,0.2962962962962963,0.37037037037037035,0.5185185185185185,0.3950617283950617
801710,建筑材料,2021-01,-0.005924228663166886,0.17975770985629955,-0.0329567430954855,0.0,0.7407407407407407,0.6666666666666666,0.5185185185185185,0.6419753086419754
801720,建筑装饰,2021-01,-0.04017135341121181,0.17620297419858577,-0.22798340149433316,0.0,0.4444444444444444,0.2962962962962963,0.5185185185185185,0.419753086419753
801730,电力设备,2021-01,-0.015085937002234373,0.4323479903477046,-0.03489304296315082,0.0,0.5555555555555556,0.6296296296296297,0.5185185185185185,0.5679012345679012
801890,机械设备,2021-01,0.0009508634868420351,0.25488310584464796,0.003730586551395797,0.0,0.8518518518518519,0.8518518518518519,0.5185185185185185,0.7407407407407408
801740,国防军工,2021-01,-0.15294086463275636,0.4298083926881767,-0.35583498888006587,0.0,0.037037037037037035,0.14814814814814814,0.5185185185185185,0.23456790123456792
801750,计算机,2021-01,-0.06608852361165307,0.25517765439375745,-0.25899024649577557,0.0,0.2222222222222222,0.2222222222222222,0.5185185185185185,0.32098765432098764
801760,传媒,2021-01,-0.008616142078424316,0.2366748848579725,-0.03640496998063324,0.0,0.7037037037037037,0.5925925925925926,0.5185185185185185,0.6049382716049383
801770,通信,2021-01,-0.08229508196721314,0.23346608150709974,-0.35249266803970636,0.0,0.07407407407407407,0.18518518518518517,0.5185185185185185,0.25925925925925924
801010,农林牧渔,2021-02,0.01683188443923589,0.3398778662180454,0.04952333209140943,0.0,0.7037037037037037,0.6296296296296297,0.5185185185185185,0.617283950617284
801030,基础化工,2021-02,0.08525270458884382,0.30717724116786316,0.27753587559000104,0.0,0.9629629629629629,0.9629629629629629,0.5185185185185185,0.8148148148148148
801040,钢铁,2021-02,0.0642643195761905,0.30828194146224747,0.2084595655242439,0.0,0.9259259259259259,0.9259259259259259,0.5185185185185185,0.7901234567901234
801050,有色金属,2021-02,0.051429656896244014,0.4792728992030272,0.1073076674724678,0.0,0.8148148148148148,0.7777777777777778,0.5185185185185185,0.7037037037037037
801080,电子,2021-02,-0.03527257594673339,0.2984296642932335,-0.11819393367033033,0.0,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185
801880,汽车,2021-02,-0.051086007114128584,0.2767862356538014,-0.1845684522333904,0.0,0.3333333333333333,0.4074074074074074,0.5185185185185185,0.419753086419753
